Batoh{pocetPredmetov=217, aktualnaHmotnost=11986.0, hodnotaUF=27185.0}
Predmet{cena=145.0, vaha=44.0, koeficient=3.2954545454545454}
Predmet{cena=145.0, vaha=44.0, koeficient=3.2954545454545454}
Predmet{cena=145.0, vaha=44.0, koeficient=3.2954545454545454}
Predmet{cena=150.0, vaha=45.0, koeficient=3.3333333333333335}
Predmet{cena=150.0, vaha=45.0, koeficient=3.3333333333333335}
Predmet{cena=140.0, vaha=41.0, koeficient=3.4146341463414633}
Predmet{cena=140.0, vaha=40.0, koeficient=3.5}
Predmet{cena=145.0, vaha=41.0, koeficient=3.5365853658536586}
Predmet{cena=145.0, vaha=40.0, koeficient=3.625}
Predmet{cena=150.0, vaha=41.0, koeficient=3.658536585365854}
Predmet{cena=150.0, vaha=40.0, koeficient=3.75}
